start,end,duration_hours
2017-10-11 18:45:00,2017-10-11 19:40:00,0.9166666666666666
2017-10-11 19:45:00,2017-10-11 20:20:00,0.5833333333333334
2017-10-11 21:10:00,2017-10-11 21:30:00,0.3333333333333333
2017-10-11 21:35:00,2017-10-11 21:45:00,0.16666666666666666
2017-10-12 00:20:00,2017-10-12 00:25:00,0.08333333333333333
2017-10-12 00:30:00,2017-10-12 00:35:00,0.08333333333333333
2017-10-12 01:15:00,2017-10-12 16:05:00,14.833333333333334
2017-10-12 16:10:00,2017-10-12 17:25:00,1.25
2017-10-12 17:40:00,2017-10-12 17:45:00,0.08333333333333333
2017-10-12 17:55:00,2017-10-12 18:00:00,0.08333333333333333
2017-10-12 18:20:00,2017-10-12 18:30:00,0.16666666666666666
2017-10-12 18:40:00,2017-10-12 18:45:00,0.08333333333333333
2017-10-12 22:40:00,2017-10-13 11:35:00,12.916666666666666
2017-10-13 11:40:00,2017-10-13 12:05:00,0.4166666666666667
2017-10-13 22:15:00,2017-10-13 23:40:00,1.4166666666666667
2017-10-14 00:35:00,2017-10-14 00:45:00,0.16666666666666666
2017-10-14 01:05:00,2017-10-14 01:55:00,0.8333333333333334
2017-10-14 02:00:00,2017-10-14 02:05:00,0.08333333333333333
2017-10-14 02:10:00,2017-10-14 03:25:00,1.25
2017-10-14 04:40:00,2017-10-14 12:00:00,7.333333333333333
2017-10-14 15:45:00,2017-10-14 15:50:00,0.08333333333333333
2017-10-14 22:45:00,2017-10-15 00:15:00,1.5
2017-10-15 00:20:00,2017-10-15 08:45:00,8.416666666666666
2017-10-15 08:50:00,2017-10-15 09:15:00,0.4166666666666667
2017-10-15 09:25:00,2017-10-15 09:30:00,0.08333333333333333
2017-10-15 09:35:00,2017-10-15 10:30:00,0.9166666666666666
2017-10-15 10:35:00,2017-10-15 11:10:00,0.5833333333333334
2017-10-15 11:15:00,2017-10-15 11:25:00,0.16666666666666666
2017-10-15 11:35:00,2017-10-15 11:45:00,0.16666666666666666
2017-10-15 11:50:00,2017-10-15 12:00:00,0.16666666666666666
2017-10-15 20:25:00,2017-10-15 20:35:00,0.16666666666666666
2017-10-16 00:20:00,2017-10-16 00:25:00,0.08333333333333333
2017-10-16 00:30:00,2017-10-16 03:35:00,3.0833333333333335
2017-10-16 03:45:00,2017-10-16 08:50:00,5.083333333333333
2017-10-16 09:45:00,2017-10-16 11:50:00,2.0833333333333335
2017-10-17 02:00:00,2017-10-17 07:15:00,5.25
2017-10-17 07:20:00,2017-10-17 08:35:00,1.25
2017-10-17 09:45:00,2017-10-17 12:05:00,2.3333333333333335
2017-10-17 14:30:00,2017-10-17 14:50:00,0.3333333333333333
2017-10-17 15:05:00,2017-10-17 15:35:00,0.5
2017-11-29 07:35:00,2017-11-29 11:05:00,3.5
2017-11-29 20:30:00,2017-11-29 21:05:00,0.5833333333333334
2017-11-29 21:10:00,2017-11-30 10:25:00,13.25
2017-11-30 10:30:00,2017-11-30 12:20:00,1.8333333333333333
2017-11-30 14:05:00,2017-11-30 19:55:00,5.833333333333333
2017-11-30 21:05:00,2017-12-05 06:15:00,105.16666666666667
2017-12-06 20:05:00,2017-12-07 04:20:00,8.25
2018-07-08 06:35:00,2018-07-08 09:40:00,3.0833333333333335
2018-08-31 07:05:00,2018-08-31 10:35:00,3.5
2018-09-01 01:25:00,2018-09-01 01:35:00,0.16666666666666666
2018-09-01 01:45:00,2018-09-01 01:50:00,0.08333333333333333
2018-09-01 01:55:00,2018-09-01 02:15:00,0.3333333333333333
2018-09-01 02:20:00,2018-09-01 18:35:00,16.25
2018-09-01 19:40:00,2018-09-01 20:10:00,0.5
2018-09-01 20:20:00,2018-09-01 22:10:00,1.8333333333333333
2018-09-30 04:55:00,2018-09-30 09:15:00,4.333333333333333
2018-09-30 11:15:00,2018-09-30 11:25:00,0.16666666666666666
2018-10-01 03:15:00,2018-10-01 09:05:00,5.833333333333333
2018-10-02 04:40:00,2018-10-02 08:50:00,4.166666666666667
2018-10-02 08:55:00,2018-10-02 09:05:00,0.16666666666666666
2018-10-03 03:40:00,2018-10-03 05:55:00,2.25
2018-10-03 06:00:00,2018-10-03 06:50:00,0.8333333333333334
2018-10-03 06:55:00,2018-10-03 08:00:00,1.0833333333333333
2018-10-03 08:05:00,2018-10-03 08:20:00,0.25
2018-10-03 08:30:00,2018-10-03 08:40:00,0.16666666666666666
2018-10-04 01:35:00,2018-10-04 09:00:00,7.416666666666667
2018-10-04 10:30:00,2018-10-04 10:40:00,0.16666666666666666
2018-10-04 10:45:00,2018-10-04 11:40:00,0.9166666666666666
2018-10-05 00:30:00,2018-10-05 09:10:00,8.666666666666666
2018-10-05 10:35:00,2018-10-05 11:55:00,1.3333333333333333
2018-10-05 21:45:00,2018-10-05 22:15:00,0.5
2018-10-05 22:20:00,2018-10-05 22:25:00,0.08333333333333333
2018-10-05 22:55:00,2018-10-05 23:20:00,0.4166666666666667
2018-10-06 01:10:00,2018-10-06 02:15:00,1.0833333333333333
2018-10-06 02:30:00,2018-10-06 02:35:00,0.08333333333333333
2018-10-06 03:10:00,2018-10-06 09:25:00,6.25
2018-10-06 10:10:00,2018-10-06 12:05:00,1.9166666666666667
2018-10-06 15:05:00,2018-10-06 15:40:00,0.5833333333333334
2018-10-06 15:45:00,2018-10-06 16:20:00,0.5833333333333334
2018-10-07 00:00:00,2018-10-07 00:35:00,0.5833333333333334
2018-10-07 01:00:00,2018-10-07 11:55:00,10.916666666666666
2018-10-07 14:35:00,2018-10-07 14:50:00,0.25
2018-10-07 14:55:00,2018-10-07 15:10:00,0.25
2018-10-07 15:15:00,2018-10-07 16:10:00,0.9166666666666666
2018-10-07 16:15:00,2018-10-07 16:40:00,0.4166666666666667
2018-10-07 17:10:00,2018-10-07 17:40:00,0.5
2018-10-07 17:45:00,2018-10-07 17:55:00,0.16666666666666666
2018-10-07 20:10:00,2018-10-07 20:15:00,0.08333333333333333
2018-10-07 20:25:00,2018-10-07 21:00:00,0.5833333333333334
2018-10-07 22:15:00,2018-10-07 22:25:00,0.16666666666666666
2018-10-07 22:40:00,2018-10-07 22:45:00,0.08333333333333333
2018-10-07 22:50:00,2018-10-07 23:35:00,0.75
2018-10-08 01:50:00,2018-10-08 07:30:00,5.666666666666667
2018-10-08 07:40:00,2018-10-08 09:10:00,1.5
2018-10-08 10:30:00,2018-10-08 12:00:00,1.5
2018-10-08 14:05:00,2018-10-08 15:35:00,1.5
2018-10-08 15:40:00,2018-10-08 15:50:00,0.16666666666666666
2018-10-08 20:30:00,2018-10-08 21:00:00,0.5
2018-10-08 21:05:00,2018-10-09 07:00:00,9.916666666666666
2018-10-09 07:05:00,2018-10-09 12:15:00,5.166666666666667
2018-10-09 13:30:00,2018-10-09 13:35:00,0.08333333333333333
2018-10-09 13:40:00,2018-10-09 17:15:00,3.5833333333333335
2018-10-09 19:15:00,2018-10-10 03:10:00,7.916666666666667
2018-10-10 03:15:00,2018-10-10 12:25:00,9.166666666666666
2018-10-10 13:15:00,2018-10-10 17:25:00,4.166666666666667
2018-10-10 17:35:00,2018-10-10 17:40:00,0.08333333333333333
2018-10-10 18:35:00,2018-10-10 18:40:00,0.08333333333333333
2018-10-10 18:45:00,2018-10-10 18:55:00,0.16666666666666666
2018-10-10 19:40:00,2018-10-10 20:25:00,0.75
2018-10-10 20:35:00,2018-10-11 12:10:00,15.583333333333334
2018-10-11 14:00:00,2018-10-12 11:50:00,21.833333333333332
2018-10-12 12:00:00,2018-10-12 12:25:00,0.4166666666666667
2018-10-12 13:40:00,2018-10-13 09:10:00,19.5
2018-10-13 09:15:00,2018-10-13 11:40:00,2.4166666666666665
2018-10-13 11:45:00,2018-10-13 12:50:00,1.0833333333333333
2018-10-13 13:10:00,2018-10-14 15:50:00,26.666666666666668
2018-10-14 15:55:00,2018-10-15 05:25:00,13.5
2018-10-15 05:30:00,2018-10-15 12:20:00,6.833333333333333
2018-10-15 13:15:00,2018-10-15 22:45:00,9.5
2018-10-15 22:50:00,2018-10-16 00:00:00,1.1666666666666667
2018-10-16 00:05:00,2018-10-16 08:15:00,8.166666666666666
2018-10-16 08:25:00,2018-10-16 08:30:00,0.08333333333333333
2019-03-11 08:05:00,2019-03-11 12:00:00,3.9166666666666665
2019-03-11 19:35:00,2019-03-13 11:25:00,39.833333333333336
2019-03-13 13:05:00,2019-03-13 14:55:00,1.8333333333333333
2019-03-13 15:45:00,2019-03-14 16:10:00,24.416666666666668
2019-03-14 16:15:00,2019-03-14 21:05:00,4.833333333333333
2019-03-14 21:10:00,2019-03-16 12:10:00,39.0
2019-03-16 12:15:00,2019-03-16 22:10:00,9.916666666666666
2019-05-11 05:40:00,2019-05-11 06:00:00,0.3333333333333333
2019-05-11 06:05:00,2019-05-11 06:20:00,0.25
2019-05-11 11:35:00,2019-05-11 12:20:00,0.75
2019-05-12 04:15:00,2019-05-12 11:05:00,6.833333333333333
2019-05-13 03:00:00,2019-05-13 03:15:00,0.25
2019-05-13 03:30:00,2019-05-13 03:40:00,0.16666666666666666
2019-06-16 06:35:00,2019-06-16 06:45:00,0.16666666666666666
2019-06-16 07:00:00,2019-06-16 07:05:00,0.08333333333333333
2019-06-16 07:15:00,2019-06-16 07:20:00,0.08333333333333333
2019-06-16 07:30:00,2019-06-16 13:15:00,5.75
2019-06-17 05:05:00,2019-06-17 05:10:00,0.08333333333333333
2019-06-17 05:40:00,2019-06-17 13:35:00,7.916666666666667
2019-06-18 03:30:00,2019-06-18 03:35:00,0.08333333333333333
2019-06-18 03:40:00,2019-06-18 12:00:00,8.333333333333334
2019-06-18 12:05:00,2019-06-18 13:00:00,0.9166666666666666
2019-06-18 13:05:00,2019-06-18 14:05:00,1.0
2019-06-18 16:50:00,2019-06-19 03:30:00,10.666666666666666
2019-06-19 03:40:00,2019-06-19 16:25:00,12.75
2019-06-19 17:50:00,2019-06-20 15:50:00,22.0
2019-06-20 18:00:00,2019-06-20 22:35:00,4.583333333333333
2019-09-27 16:50:00,2019-09-28 19:15:00,26.416666666666668
2019-09-28 19:25:00,2019-09-28 19:40:00,0.25
2019-09-28 19:45:00,2019-09-28 19:55:00,0.16666666666666666
2019-09-28 20:00:00,2019-09-28 20:20:00,0.3333333333333333
2019-09-28 20:25:00,2019-09-28 20:35:00,0.16666666666666666
